,smiles,probs
0,O=C1N(C(=O)CC=2C1=CC=CC2)C3=C(OC)C=CC=C3,0.9999609
1,C(OCC1=C(Cl)C=CC=C1Cl)(=O)C2=CC(B(O)O)=CC(N(=O)=O)=C2,0.99999774
2,O(CCCOC)C1=C(OC)C=CC(C[C@@H](C[C@@H]([C@H](CNC(C(C)(C)C2=CC(F)=CC=C2)=O)O)N)C(C)C)=C1,1.0
3,[C@H](C(N[C@H](C(N[C@H](C(O)=O)C)=O)CCCNC(=N)N)=O)(NC([C@@H](NC(=O)C1=CC=CC=C1)CCCC)=O)CCCCN,0.99998474
4,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H](C[C@@H](CC(C(NC[C@H](C)O)=O)(C)C)NC3)C4=CC=C(COC)C=C4,0.99999857
5,C(CCOC)C=1C=2C(NC1)=CC=C(C[C@@H](C[C@@H]([C@H](CNC(C(C)(C)C=3NC=CN3)=O)O)N)C(C)C)C2,0.9999745
6,O(C=1C2=C(N=C(NC3=CC=C(C#N)C=C3)N1)C=CC=C2)C4=C(OCCC)C=C(C#N)C=C4OCC,1.0
7,C([C@H](CCNCC1=CC=C(Cl)C=C1)N)(=O)N2CC(F)CCC2,0.9991652
8,S(C=1C(COCCO)C(=S)CC(=O)C1C)C2=CC=CC=C2,1.0
9,C(CCOC)N1C=2C(=CC=C(CO[C@@H]3CC[C@@H](CC(C(NC[C@H]4CCCCN4)=O)(C)C)NC3)C2)OCC1,0.9999074
10,CC1=C(N2[C@H]3C[C@@H](C2)N(C)C3)C=CC(NC=4N=C(C=CN4)C5=CC=C(CC(NC6CC6)=O)C=C5)=C1,0.9999999
11,[C@H](CC1=CC=CC=C1)(C(NOC(C)=O)=O)NC(CN)=O,1.0
12,C([C@@H](C[C@@H]([C@H](CNC(C(C)(C)[C@H]1CC[C@H](NC(C)=O)CC1)=O)O)N)C(C)C)C=2C=C(CCCCOC)N=CC2,0.9999852
13,O(C=1C=2C(OC(=O)C1)=CC=CC2)C=3N=C(NC4=C(Cl)C=CC=C4)N=C(NCC(OCC)=O)N3,0.99998987
14,C([C@@H](C[C@@H]([C@H](C[C@H](C(NCCCOC)=O)C(C)C)O)N)C(C)C)C=1C=C(CCCCOC)N(=O)=C(C)C1,0.9999994
15,O([C@H]1[C@H](NCC)C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@@H]1O)[C@@H]3[C@H](O)[C@@H](NC)[C@@](C)(O)CO3,1.0
16,C(CC1=CC(Br)=C(O)C(Br)=C1)(C(O)=O)C2=CC=CC=C2,0.9995509
17,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H](C[C@H](C[C@H](NC(C)=O)C)NC3)C4=CC=C(OC)C=C4,1.0
18,CC1=C(N2[C@H]3C[C@@H](C2)N(C3)C4CCCC4)C=CC(NC=5N=C(C=CN5)C=6C=CC(OC7CCOCC7)=NC6)=C1,1.0
19,N(C(C)=O)C=1C2=C(C(N(=O)=O)=CC1)C=CC=N2,0.9999771
20,N(C(NC1=C(C)C=CC=C1)=O)C2=C(O)C=C(C#N)C=C2,1.0
21,C(NC(C)(C)C)(=O)C1(CCC2=CC=CC=C2)C(O)=C(C(=O)O1)C=3C=4C(NC3)=CC=CC4,1.0
22,C(N/N=C/C1=C(O)C=CC=C1)(=O)C=2C=C(C3=CC4=C(C=C3)C=CC=C4)NN2,1.0
23,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@]([C@H](OCC(N(CC)CC)=O)CNC3)(C4=CC=C(COCCOC)C=C4)[H],1.0
24,O([C@H]1O[C@H](CO)[C@@](C)(O)[C@H]1O)[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N,0.99999917
25,C(CCCCOC(C)=O)C=1N2C(=C(C)N1)C=CC(Cl)=N2,0.9993755
26,C(CCOC)N1C=2C(N=C1C(F)(F)F)=CC=C(C[C@@H](C[C@@H]([C@H](C[C@H](C(NC=3C=CC(C)=NC3)=O)C(C)C)O)N)C(C)C)C2,0.99912125
27,C(S(C(CC1=CC=CC=C1)CC)=O)(CC2=CC=CC=C2)CC,1.0
28,C(CCC)(=O)C=1C=2C(OC(=O)C1)=CC(O)=CC2,1.0
29,C(CC(C[C@@H]([C@H](CN1CCC(C)(C)C1=O)O)N)(C)C)(=O)N2C=3C(CC(NC(OC)=O)C2)=CC=CC3,0.99960166
30,C(CCOC)N1C=2C(=CC=C(CO[C@@H]3CC[C@@H](CC(C(NC)=O)(C)C)NC3)C2)OCC1,0.9999999
31,O=C1C(C=2NC=3C(S(=O)(=O)N2)=CC=CC3)=C(O)C=4C(N1CC(CC)CC)=NC=NC4,0.999995
32,C(NC([C@@H](NC([C@@H]([C@@H]([C@H](CC1=CC=CC=C1)NC([C@@H](NC(OCC2=CC=CC=C2)=O)C(C)C)=O)O)NCC3=CC=C(OCC)C=C3)=O)C(C)C)=O)C=4NC=5C(N4)=CC=CC5,1.0
33,C(N1C2=C(C(O)=C(C1=O)C=3NC=4C(S(=O)(=O)N3)=CC=CC4)SC(S(C)(=O)=O)=N2)C5=CC=CC=C5,0.99999666
34,C[C@]1(F)[C@@](O[C@H](COP(OC=2C3=C(C=CC2)C=CC=C3)(N[C@H](C(OCC)=O)C)=O)[C@H]1OC(C)=O)(C=4N5C(=NC4)C(N)=NC=N5)[H],1.0
35,[C@@H](N[C@@H]([C@H](CC1=CC=CC=C1)N)C(N)=O)(C(OC)=O)CC(C)C,1.0
