Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,Bioactivity,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL105712,PHENACYL CHLORIDE,0,154.6,0,2.11,PHENACYL CHLORIDE,O=C(CCl)c1ccccc1,IC50,'=',190,nM,Active,6.72,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,154.596,2.1081,0,1
CHEMBL1092796,IGUESTERIN,0,404.59,1,7.16,4,CC1=CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,IC50,'=',2600,nM,Active,5.58,,,UO_0000065,13.8,0.25,-1.57,14.97,FALSE,CHEMBL1113303,Inhibition of 3C-like protease of SARS coronavirus assessed as concentration of FRET peptide for 60 mins,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1155394,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,,404.594,7.163,1,2
CHEMBL1092797,DIHYDROCELASTROL,0,452.64,1,6.64,5,Cc1c(O)c(O)cc2c1CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@]12C,IC50,'=',21700,nM,Inactive,4.66,,,UO_0000065,10.3,0.19,-1.98,6,FALSE,CHEMBL1113303,Inhibition of 3C-like protease of SARS coronavirus assessed as concentration of FRET peptide for 60 mins,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1155394,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,,452.635,6.64392,3,3
CHEMBL1096979,BENSERAZIDE,4,257.25,1,-1.76,BENSERAZIDE HYDROCHLORIDE,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,IC50,'=',140,nM,Active,6.85,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,257.246,-1.7562,7,7
CHEMBL111654,2-MERCAPTOBENZOTHIAZOLE,0,167.26,0,2.59,Benzo[d]thiazole-2(3H)-thione,Sc1nc2ccccc2s1,IC50,'=',1740,nM,Active,5.76,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,167.258,2.585,1,3
CHEMBL1161936,,0,308.34,0,2.67,carboxypyridine-disulfide,O=C(O)c1ccc(SSc2ccc(C(=O)O)cn2)nc1,IC50,'=',240,nM,Active,6.62,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,308.34,2.6724,2,6
CHEMBL116438,CURCUMIN,3,368.39,0,3.85,Curcumin,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,IC50,'=',23500,nM,Inactive,4.63,,,UO_0000065,12.57,0.23,0.78,4.81,FALSE,CHEMBL1113303,Inhibition of 3C-like protease of SARS coronavirus assessed as concentration of FRET peptide for 60 mins,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1155394,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,,368.385,3.8526,3,6
CHEMBL118596,,0,363.15,0,3.02,2d,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,IC50,'=',50000,nM,Inactive,4.3,,,UO_0000065,11.84,0.31,1.28,11.51,FALSE,CHEMBL868157,Inhibition of SARS CoV 3C-like protease,B,BAO_0000357,single protein format,SARS coronavirus,None,None,None,None,,,,CHEMBL3927,SARS coronavirus 3C-like proteinase,SARS coronavirus,SINGLE PROTEIN,CHEMBL1148529,1,Scientific Literature,J. Med. Chem.,2006,None,,363.154,3.0207,0,2
CHEMBL1188627,,0,267.36,0,3.13,SCH-202676,C/N=c1/nc(-c2ccccc2)n(-c2ccccc2)s1,IC50,'=',980,nM,Active,6.01,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,267.357,3.1313,0,4
CHEMBL119171,,0,299.31,0,-1.69,THIOGUANOSINE,Nc1nc(S)c2ncn(C3OC(CO)C(O)C3O)c2n1,IC50,'=',1080,nM,Active,5.97,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,299.312,-1.6913,5,10
